text,cluster
"Im rooting for Ukraine and want them to destroy or take as much as possible from Russia. Trouble is they have nukes and Ukraine doesnt.. Trump will meet with Putin and he will ask for his land back; The mofo is delusional. Fark that. Maybe he gets destroyed train tracks back. No major land, i.e. towns and cities. Basically, we need to get nukes to Ukraine or else US/Ukraine cant have REAL peace talks.",4
"Trump is Putin’s lap dog. He just cut all aid to Ukraine. If Trump REALLY wanted to end the war, he’d increase sanctions, increase aid to Ukraine and lead NATO in enforcing a no-fly zone over Eastern Ukraine.",4
"If the collective West fails to ensure Ukrainian military victory, then we may aswell throw out all of the Geneva conventions, The Hague etc. Should the Russian state continue to exist, then Ukraine needs to obtain nuclear weapons on its own to ensure it can destroy all Russian institutions and delete these scum.",4
"I hope when hes done in Ukraine, President Zelensky will consider freeing America",4
This is David and Goliath and we know who won that Slav Ukraine,4
"She is right. But if she really means it, she can’t let Ukraine stand alone to defend itself. Then Denmark has to send troops. Same as that filthy NK leadership did.",4
"Clueless. Even if Putin resigned today, the Russians would still wipe out Ukraine!",4
Trump litteraly just burried Project Ukraine and all /uhg/ can do is COPE KEK,4
"Trump spoke with putin, agreed to start negotiations on Ukraine, visit each othervisit each otherNot happening kek",4
"A deal is in sight, Ukraine for the Russians, Greenland for the Americans, inseparable plastic plugs for us Europeans.and paper straws too",4
"You can take whatever the fuck you want and then Ukraine is your problem not ours.If it gets invaded again Trumps gonna have to go defend his deal lmao, not us.",4
Ukraine needs to settle with Putin. Give some land away. Accept defeat and save its young men’s live. I don’t think much would change for the Ukraines living in the border anyway.,4
Americans being slightly less delusional about how badly Ukraine is fairing in Joe Bidens Ukraine warA good start I guess.,4
why should i give a shit about Ukraine? they sent all their men to die for nothing. i guess some people got rich at least and some billions went missing.,4
"Absolutely. I haven’t changed my fb profile pic from the main headline of “Russia attacks Ukraine” since 2022. I feel is the absolute least I can to do remind myself and anyone else that interacts with me of what’s going on half way across the world. Everything I see here is very sobering. I made a post way back then attempt to acknowledge why I don’t go fight. For better or worse: - I don’t know the land climate, and barely know the culture - I don’t speak Russian, Ukrainian, or any Slavic language - I’m not a soldier Of any of the above were true, then I might have gone, but at the end of the day, it’s not. Sure, I could learn… but that would take time, and that’s not what they need right now… so I have to believe I’ll be of more use some other way: controlling what I can in my sphere of orbit and vocally supporting Ukraine whenever possible. Slava Ukraini.",4
"Yes, 100%, Canada supports Ukraine 🇺🇦",4
"This is the power of jealousy. Its a disease that spreads from one sick person to the next. We dont have what Ukraine has, so it is ok to take it by force. Resentment is a strong emotional trait that closes out other emotions like empathy, kindness, or fairness and leads to hatred.",4
SLAVA UKRAINI! Ukraine has the cojones to do what the EU is too cowardly to undertake!,4
"Then what the fk are us Europeans doing? It better be making a European alliance and sending in the troops. Russia cant use other countries military, its one thing getting weapons from them its another using a countries military, we need to start preparing and if putin keeps up this shit we end it. Iraq style, massive air attacks with multiple waves using all the different jets we have that are great at different missions. We take out comms, AA defence networks, airfields, command and control centres and main factories fora war effort. We rule the skies they either surrender or fire nukes. Either way fk putin we cant let that egotistical maniac have his way anymore. Also if the US doesnt want too, tough luck its us in Europe that should be more worried. Ukraine has done an absolutely amazing job, but theyve had to fight a military thats classed as one of the best and even so they have numbers, we need to help Ukraine proper. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🤝🇺🇦",4
"ukraine was about to win, but then trump backstabbed themrussian economy was about to collapse, but then trump saved themI hate the antichrist.",4
"Is there is even 30,000 in Ukraine right now?",4
"NO NATO MEMBERSHIPDWINDLING EU SUPPORTMANPOWER SHORTAGE IN EVERY SINGLE FRONTNO FURTHER AID, WHICH ZELENSKY CLAIMED WAS ESSENTIALZELENSKY COMPLAINING THE F JETS CAME STRIPPED OF ALL MODERN GADGETS AND SERVE NO OFFENSIVE PURPOSEDEMAND ZELENSKY TO EITHER *OFFICIALLY* LOWER DRAFT AGE TO  (Scrap the bottom of the barrel) SO ALL HOHOLS DIE OR END MARTIAL LAW AND FACE THE WRATH OF THE PEOPLE HE FAILED TO EXTERMINATE is now trying to White Peace Russia, trading their Kursk saliant for all the lost oblasts. Hell remain in charge of the country and martial law will continue. Ukraine should go through a constitutional reform, where Zelensky will remain as president until the threat to national security is done.This is devastating. America is revolting.",4
"And NK will keep sending them until Ukraine smartens up and runs a leaflet campaign offering NK soldiers food, and freedom. As soon as they start taking up the offer, NK will stop sending them. Its litterally a worst case scenario for Kim.",4
Putin would be crazy to stop without complete Ukranian surrender and zelensky being handed overNATO already showed their hand. They want Russian collapse and balkanization. Ukraine is the staging platform.Having any sort of peace will just let Ukraine build up their forces and try again,4
"Europeans dont understand why the world is so shitty right now. The world is shitty right now because America is overstretched and overburdened and it cant provide security while trying to babysit Europe. Europe is supposedly a developed continent and supposedly has technology and economy. So they should be providing their own security at the very least. Thats independent of NATO alliances, further it would only increase NATOs power overall if Europeans themselves put more money into defense. A good friend is one that doesnt allow other friends to carry their own burden. Being a leech to American military/economy isnt good for the future of NATO. That problem has been highlighted for the last + years, yet Europe refuse to do anything. The % self imposed goal was made  years ago as a bare minimum. Europeans seeing this as some sort of America bad is absolutely the wrong mentality. Ukraine is in Europe. Ukraine was destabalized by EU overthrowing the Ukraines Russian friendly leader and causing havoc to the region.",4
"She is right. But if she really means it, she can’t let Ukraine stand alone to defend itself. Then Denmark has to send troops. Same as that filthy NK leadership did.",4
Ukraine needs to be given the weapons and help it needs to take mordor and make it human again SLAVA UKRAINE 🇺🇦 🇮🇪,4
"Attaboy! Another BBQ, keep it going Ukraine!",4
" class=""quote"">I had a meaningful conversation with @POTUS. We long talked about opportunities to achieve peace, discussed our readiness to work together at the team level, and Ukraine’s technological capabilities—including drones and other advanced industries. I am grateful to President Trump for his interest in what we can accomplish together.We also spoke about my discussion with @SecScottBessent and the preparation of a new document on security, economic cooperation, and resource partnership. President Trump shared details of his conversation with Putin.No one wants peace more than Ukraine. Together with the U.S., we are charting our next steps to stop Russian aggression and ensure a lasting, reliable peace. As President Trump said, let’s get it done.We agreed to maintain further contact and plan upcoming meetings.poor zelenskyiyiyiyiyi got thrown under the bus",4
Hell yes! Donating $2k to Ukraine every year.,4
"Seems more likely we will be getting an East/West Germany solution to the war in Ukraine.Ukraine is getting desperate because Russia is making massive gains on the battlefield.Ukraine is also scared due . hour long call Trump and Putin had today.This is what is going to happen. Ukraine is not allowed to join NATO or the EU for  years. NATO is not allowed to expand and needs to reverse the membership of Finland, Sweden and the Baltic’s NATOs military will be serverly reduced and not allowed to intervene NATOs influence and power will be reduced Russia gets to keep the land they took Putin gets to sell this as a win that be got the West to bend down to his willZelensky? Was this all worth it?  years of fighting, Millions dead/displaced, Billions wasted. For what?If Ukraine had surrendered day- this could all have been avoided. This whole war has shown, the one willing to use power and ignore the rules...win at the end of the day",4
Trump doesnt give a damn about Ukraine.,4
"Why did Poland push for regime change in Ukraine, during the Maidan, so hard?",4
"The nationalist brigade are a separate fighting force then the ukrainian army. They have their own financing, their own recruitment and most importantly their own training and bases. They have permanent presence in Kharkov, Kiev, Dnepropetrovsk, Odessa and of course Western Ukraine. Their total number is probably between -  serving as fighters, plus a few hundred thousand as sympathizers and logistics. If the peace deal creates a Ukraine in which they can no longer exist they will most certinally rebel, because they will simply have no where to go.",4
"‼️Of course, always love♥️and support Ukraine, Forever‼️",4
The European coalition supporting Ukraine is now totally coming apart.,4
Ukraine is Europe‘s problemUkraine will not join NATOno American troops for securing peace in Ukraine after the war ends% of GDP defence spending for stupid yuro vassals (that’s % of the entire German state budget)K.O. FATALITY LMAO,4
NO NATO COUNTRY WANTS TO GO TO UKRAINE NOW THAT USA CONFIRMED NO ARTICLE  PROTECTIONS. RUSSIA CAN FREELY TARGET NATO FORCES WITH NO REPERCUSSIONS.Total annexation is coming. Putin has his greenlight.,4
▶MAPSRybar Union Raid Alarms - Black Sea - Marine Traffic Bird Group (Finnish) (Hohol) (neocons) map of the Ukraine maps:,4
Yes I do! Just submitted my monthly $500 to Ukraine since few months started war. Always support Ukraine for their freedom!,4
You are completely insane if you think this so called ukraine entity will even exist after the deal is signed. Its over. Your government fucked up so be grateful theres Trump to fix this shit before the nukes start flying.,4
Ukraine will find you and justice will be served!,4
"Welcome to Ukraine, enjoy your stay. 💥",4
Ukraine outlived her purpose for the USA.,4
YES! AND IT IS FROM THE NATIONAL FORESTS OF TEMPORARILY OCCUPIED UKRAINE FROM 2014 - 2022. DNA TESTING WILL CONFIRM. SEIZE ALL SHIPS AND RETURN LUMPER TO UKRAINE AND SHIPS TO UKRAINES NEW MERCHANT MARINES !!!!!!!!!!!!!!!!!!!!,4
"Budanov denies ever saying anything like thatObviously. Nevertheless, Ukraine is facing imminent defeat, the only thing thats uncertain is how long they have left.",4
As much as I support my own Country Canada I support Ukraine 100% with my dieing breath I will support them,4
"Ukraine is doing what Hitler could not, Uniting Europe into one state with one people, Heil Hitler, Slava Ukraini ❤️🇺🇦❤️",4
"The Jews really are out in full force, huh? Poland is one of the few based countries left in Europe, most right wing Americans understand this. You cannot drive a wedge between us. Ending the slaughter in Ukraine and stopping the hemorrhaging of life and money is not abandoning our allies. Poland is a part of NATO and would be protected by us. And honestly, after the performance in Ukraine, Im pretty sure Poland would be able to fend fairly well (not even considering all the aid they would get from the EU).If anything this peace will be a wake-up call for Europe as a whole, and they will learn that relying on the US to protect their entire continent is not a fair or good idea. They will get a little bit of nationalism back and actually build up their military and independence. Just a shame it took so much death for people to wake up.",4
Rest in peace all of you innocent Ukrainians who has lost their lives. Glory to the heroes defending Ukraine.,4
"were winding down the jew war in ukraine that the neocons in biden regime startedzelensky will prob be allowed to flee to a western country but russians will prob still get himrussia will hold control over all of ukraine as before, but will make economic deals with US for part of ukraines mineralsukraine will be completely demilitarizedthere will be a huge audit on spending in ukrainethere will be new investigations",4
"Ive mentioned before that neither Switzerland nor Austria are part of NATO, and neither is a friend to Ukraine. They hide Russian Oligarchs money in their banking system, and contribute nothing to Ukraine.",4
I love Goncharenko. Hes one of my favorite humans for the past few years. This speech was as good as his Welcome to Ukraine speech when Russia was amassing along the borders of Ukraine,4
"no , I cant ,to much is wrong with the elected Government .So Ill stand here alone ,just be careful Im part Ukraine yeah wow hey .",4
Unauthorized?!? By whom?!? Its Ukraine. The only country who can authorise peacekeepers is Ukraine. Ruzzia has no jurisdiction in Ukraine. Theyre absolutely out of their minds.,4
This is David and Goliath and we know who won that Slav Ukraine,4
"Merz must first return all his bribes and afd borrowed talking points. Dont believe or trust that guy, he is not interested in Ukraine, Germany or Europe.",4
The man made a secret deal with Putler to partition part of western Ukraine. He’s a shit stain.,4
"Absolutely. In fact, it concerns me a bit that people have forgotten about Ukraine because of the conflict in Gaza. Don’t get me wrong, I think it’s important too, but at the same time we can’t forget about continuing to support Ukraine’s fight against Russia.",4
I blame Vladimir Putin for invading Ukraine.,4
now you remind how /uhg/ used a Trump OP when he got elected with the MAGA hat edited with Make Ukraine Great AgainHeh,4
"“If Europe wants to remain the worthy heiress of the Greek city, the Enlightenment, Tocqueville, Churchill, and Jan Palach, it will stand by Ukraine until victory.” — By Galia Ackerman: ",4
Ukraine has enough american weapons to fight untill summer. GG migapede,4
Ukraine can certainly make nukes in no time! Do it!,4
Too many Europeans are nw turning against Ukraine.,4
"Thats the way to go putin wants to destroy Ukraines power grid, whats good for the goose is good for the gander for ever strike Russia does send 10 drones back on their power grid SLAVA UKRAINE 🇺🇦 🇮🇪",4
"What an example of bravery, leadership and courage. These are the real life heroes. Glory to Ukraine!",4
"He just froze US aid to Ukraine, as an American I have to say its time for yall to wake up and understand that you can no longer count on us. Find other sources of aid, this man has already betrayed you.",4
The best way for Germany to keep the ruZZian army at a safe distance is to provide the long range weapons that Ukraine needs.,4
A real war against NATO goes nuclear. Putins final card is a nuclear tactical weapon. Against Ukraine not an insurmountable problem . If it is against NATO its Armageddon. there is a dance here and Putins economy is. Destroyed. What does he have left?,4
"If Ukraine had nuclear weapons wed literally be engulfed in a third world war right now, or living out the aftermath of nuclear strikes.",4
As much as I support my own Country Canada I support Ukraine 100% with my dieing breath I will support them,4
"Its okay , i posted a lone unarmed pow getting drone-gored in k again, the Ukraine is winnning",4
The US are not in a position to keep funding Ukraine.,4
Without question. UKRAINE FOREVER ❤️,4
Class ! That wasnt a bridge to far SLAVA UKRAINE 🇺🇦🇮🇪,4
any nato country would have sent boots on the ukraine officially.,4
ZIGGERS CANNOT STOP DYING IN UKRAINE ;D,4
Ukraine can certainly make nukes in no time! Do it!,4
ukraine is going to be an african tier warlord state with a bunch of bandits vying for supremacyordefunct rump state administered by globalists importing turdskins who kill  replace ukrainians who cant fight back because theyre dead/crippled. for their sake i sure hope its the former. @ least they have a chance to preserve their people.,4
"They obviously are turning against Ukraine just to get the cheap Russian gas! Profits over politics, as usual.",4
Calling it now. When Stinky falls the whole of Ukraine falls,4
Class ! That wasnt a bridge to far SLAVA UKRAINE 🇺🇦🇮🇪,4
Implying Russians arent coming home to this after losing their brothers in Ukraine,4
"Thats the sad thing of all. With the fall of the USSR, Ukraine agreed and abided by the agreements made. And they kinda shot themselves in the foot. The russians cannot be trusted.",4
"Yes, Im still rooting for Ukraine. They must prevail.",4
The title is misleading. The video is about countries which support Ukraine the most looking at % of their GDP. Not the most the most aka in absolute numbers.,4
"Well as they will be in Ukraine, Ukraine simply needs to authorise them. Problem solved.",4
The man made a secret deal with Putler to partition part of western Ukraine. He’s a shit stain.,4
I have also heard Israel is sending three nuclear weapons to the Ukraine,4
"That clown is causing nothing but trouble for Ukraine, and causing the European coalition to fracture!",4
"theyd both vote to be one nation againdelusional cope. they can allow new votes on self-determination, but only if every single oblast gets to vote. that will be putins bargaining position and ukraine will never take it because they know they will lose more. ukraine will take what they have and be happy.The entire point of this war was for Russia to annex all of Ukrainedouble cope. putin was very clear about his strategic objectives from the very beginning and he will lie about many things but not about this. he achieved everything he wanted in terms of territory in  months, and has been conducting the demilitarization and denazification for  years. every aim of the smo has been accomplished with brilliant strategic execution, he completely rebuilt the military, got rid of wagner and pmc, consolidated his control of the oligarchs, restarted the russian economy, dramatically increased weapons production. now he will get back the money that was stolen and start selling oil and surplus weapons to the entire world and russian economy will be a rocket for + years. total strategic victory.",4
the US government has always been pretty open about the fact that ukraine in nato was out of the question in the short term and very unlikely in the long term.,4
"Absolutely. I haven’t changed my fb profile pic from the main headline of “Russia attacks Ukraine” since 2022. I feel is the absolute least I can to do remind myself and anyone else that interacts with me of what’s going on half way across the world. Everything I see here is very sobering. I made a post way back then attempt to acknowledge why I don’t go fight. For better or worse: - I don’t know the land climate, and barely know the culture - I don’t speak Russian, Ukrainian, or any Slavic language - I’m not a soldier Of any of the above were true, then I might have gone, but at the end of the day, it’s not. Sure, I could learn… but that would take time, and that’s not what they need right now… so I have to believe I’ll be of more use some other way: controlling what I can in my sphere of orbit and vocally supporting Ukraine whenever possible. Slava Ukraini.",4
Fuck Ukraine and fuck its shills.,4
"In his 25 September 2015 lecture Why Is Ukraine the Wests Fault?, Mearsheimer stated that the West was leading Ukraine down the primrose path, that the Western powers were encouraging Ukraine to become part of the West despite their hesitancy to integrate Ukraine into NATO and the EU, that they were encouraging the Ukrainian government to pursue a hardline policy towards Russia, and that the end result is that Ukraine is going to get wrecked. Thats not bad of a prediction from a decade ago",4
