,lang,trigger_words_strings
729,ru,"['кто чья кукла в чьих руках', '[зловеще хохочет]']"
731,uk,"['ГАНЯЄМО РОСІЯН по українській землі', 'Батальйон К-2. Соледар - Сіверськ.\nВирішили зробити невеличку нарізку ""теплого прийому"" окупантів. Пілоти батальйону К-2 не дають відпочивати росіянам ні секунди']"
734,uk,"[' кидає в атаку танки, бойові броньовані машини, не жаліє піхоти', 'одне з найбільших кладовищ ворожої техніки', 'тисячі окупантів, які зазнали тут ганебної смерті', 'ДШВ – Завжди Перші']"
738,uk,"['1 до 100.\nЯк і втрати. \nНе варто цього забувати.\nІ чемно нагадувати всім.\nЗакордоном особливо. Не сидіть склавши руки. І не мовчіть.', 'Доля Європи', 'вирішується кров‘ю українців', 'Подивись. Згадай. Порівняй. \nПошир.']"
740,ru,"['Украина за 15 минут до вылета Ил-76 была предупреждена о полетном плане борта. \nПо его словам, ГУР Украины подтвердило получение информации.', 'Украинская сторона была официально, я подчеркиваю, официально предупреждена. За 15 минут до выхода самолета в зону была передана им полная информация. Они ее получили и подтвердили получение в лице Главного управления разведки ВСУ', 'вы все прекрасно знаете']"
741,uk,"['БЛАЖЕННІ ДРОНИ БО ЧЕРЕЗ НИХ ПРИХОДИТЬ ЦАРСТВО НЕБЕСНЕ', 'Ці міномети більше ніколи не запрацюють в нашу сторону.']"
742,uk,['п*дарів']
744,ru,"['Наш источник сообщает', 'западные партнеры отреагировали мягко говоря холодно или простыми словами «отморозили»', 'Зеленскому посоветовали сконцентрироваться на подготовке пехоты (больше мобилизовывать) для войны в городах. То есть превращать каждый город в руины на пути следования/продвижения ВС Р', 'Отсюда напрашивается простой логичный вывод: западу важны такие цели \n1. Разрушение страны/городов, которые скорее всего запад потом оставит за РФ. \n2. Увеличение количества погибших украинцев, чтобы увеличить историческую рану в войне между РФ и Украиной, у которых на протяжении веков была общая культура и история. \n3. Затянуть на как можно дольше конфликт дорогой ценой для украинцев, но минимальной затратой для запада с хорошим для них профито']"
745,ru,"['Царь-окоп', 'вырыли Царь-окоп', 'Поэтому все версии про лёгкую прогулку, как под Харьковом - пропаганда. Сражение будет кровавое']"
746,uk,"['Усе розтоптано', 'все порушено']"
747,ru,"['Бьет ли молния дважды в одно место, или Кто и зачем на самом деле взрывает Керченский мост', 'На первый взгляд, психологически это, конечно же, весьма перспективно для Украины', 'так как вполне рельефно показывает абсолютную незащищенность и этого объекта, и оккупированного полуострова в целом. Более того, все, что неизменно бравурно и с невероятным пафосом говорилось о способности России что/либо контролировать на оккупированных территориях и в самой России, не соответствует действительности.', 'И это их чрезвычайно пугает. А в скором времени приведет к накопительному «пугательному» эффекту разлагающего свойства…', 'Заорать на весь пропагандистский рот, что террористические акты совершает не только Россия.', 'Банальная российская пропаганда…', 'чтобы отвлекать внимание от «слабого царя» по фамилии Путин, который блестяще продемонстрировал свою трусливость в личной ситуации с неудачным «пригожинским мятежом»…', 'И безразлично ведь, что это сильно бьет по репутации «российской армии» и российских спецслужб…']"
748,ru,"['«Наши ребята продвигаются вперёд', 'Серьёзные бои', 'укронацистов', 'большой землёй', 'создать котёл', 'принудит их либо сдаться, либо мы их уничтожим»']"
750,ru,"['А как же так? НАТО с вами, техники западной навалом... Не получается удержать?) И детей напоследок хотите из Харьковской вывезти, чтобы заработать?']"
751,uk,"['Зроблено все було максимально підступно', 'голова Комітету поставив на голосування, коли я його попередила, що запізнюсь на засідання, за моєї відсутності; а колеги проголосували.', 'Я не здамся НІКОЛИ і жодний шантаж не заставить мене відступити від принципів, роботи, боротьби і правди.', 'і не поиймав конʼюнктурні рішення щодо того, щоб вигідно сказати, а що ні; то були б зовсім інші реалії. У нас війна', 'Так що робота і боротьба триває.']"
754,ru,"['военкомы «задули» лицо парню газовым баллончиком', 'Ох как', 'стараются', 'планы по «охоте на мужиков»']"
755,uk,"['Світ не повинен бути заручником дій однієї країни-терорист', 'Атаки на портову інфраструктуру й зерносховища України – це ще одне свідчення російського злочину проти людяності', 'Україна вживає заходів, аби відновити обсяги експорту', 'подобається це росії чи ні', 'Наступальні дії України на фронті тривають: на Бахмутському напрямку трохи швидше, ніж на півдні', 'час покаже', 'Болгарія передала нам значну кількість зброї, але головне – збільшує обсяги виробництва нових боєприпасів', 'Потреби дуже високі, тому для нас це життєво важливо. Україна завжди пам’ятатиме і буде вдячна за ту допомогу, яку нам надає Болгарія.']"
762,uk,"['головні проросійські наративи, що лунали з-під бороди Павла', 'відверту маячню, за яку він нарешті отримує справедливу кару']"
763,ru,"['Носители западных ""ценностей"" стали лишними в нашей стране', 'Бяда!', 'ненаши', 'нерабыдло', 'а нас-то за що?', 'это другое - понимать надо!']"
766,uk,"['Шахтарі не мають права зупинятися — попереду зима!', 'Він, як і тисячі енергетиків та шахтарів, зараз працює в посиленому темпі. Мета одна — світло та тепло в домівках українців.', 'Вистоїмо та переможемо']"
767,uk,"['Спершу до роботи приступив розрахунок дронів-камікадзе, та після плідного дня це була остання пташка в арсеналі. Потім долучилась її Величність великокаліберна артилерія']"
768,ru,"['колерованную порохоботку', 'Еще один такой же порохобот, пребывающий в реестре коррупционеров и ездящий ночами к Петьману', 'А зная определенный жизненный бэкраунд Агии, с каких «профессий»\nона начинала', 'слабость Сытника к сотрудницам', 'Саша Новиков не только истеричка, но и очень недалекий']"
770,uk,"['мʼяко кажучи', 'дивне рішення', ' все виглядає саме так, як треба', 'що долю не обманеш']"
771,ru,"['Женщине было 83, а меня слишком правильно воспитали, чтобы из самолета произошел вынос тела', 'Полностью контролируемые пашиняном масс медиа  превратили мозги людей в маргарин.\nА были ли они….']"
772,ru,"['Тупые, б**дь, дегенераты. \nОтважные бойцы с мирными людьми.']"
775,uk,"['Наші діти - наше майбутнє!', 'Зараз нам допомагає світ', 'Вдячні Першій леді та міжнародним партнерам', 'турботу про здоров’я маленьких українців']"
776,uk,"['Як всім відомо', 'по всій Україні проводяться низка масштабних оперативно-слідчих заходів, направлених на боротьбу із внутрішнім ворогом, та очищення органів влади від корупціонерів і зрадників. В рамках відкритих проваджень у різних регіонах України відбуваються десятки обшуків і вручення підозр фігурантам справ.', 'Хочу підкреслити, що недоторканих ні в адміністрації ні в області немає і кожен повинен і буде нести відповідальність за свої вчинки згідно законів України!']"
777,uk,['А Ви помітили цей натяк?\nВони ж нам майже відкрито так і кажуть: 29 березня ми будемо «на кортанах» під Лаврою гоп-стоп влаштовувати']
779,uk,"['Коли є час для відпочинку, воїни 95 окремої десантно-штурмової бригади ДШВ ЗС України проводять його з користю', 'всі сили яких сьогодні спрямовані на Перемогу України', 'Разом до Перемоги! ДШВ – Завжди Перші! Слава Україні!']"
781,uk,"['Яка сволота цього разу першою викладе фото?\nКомфорт таун, ваші блогери там всі на місці і без телефонів?']"
782,uk,['Український зерновий коридор продовжить працювати попри все']
783,uk,"['Зароджена у глибині віків, формована нашими великими, мудрими предками, здобута у важкій боротьбі нашими хоробрими Воїнами державність \xa0― вершина наших цінностей і свобод', 'Вона у наших літописах і книжках, в нашій пам’яті про тривалий рух до неї словом і боротьбою через гіркі невдачі, трагедії \xa0 та славетні переможні битви', 'Українська державність ― у наших гідних, сміливих вчинках. Вона на вістрі шаблі, спрямованій у бік ворога, у свинцевому набої, який знищує окупанта, у молитві, промовленій подумки Воїном у важкому бою', 'Державність звучить радіоскреготом рації, гулом бойової авіації, гуркотом гусениць, \xa0ударами затвору гвинтівки', 'Державність звучить дитячим сміхом. Державність звучить українською мовою', 'Вкотре в історії нам випало захищати українську державність \xa0від московського зла. Тризуб Володимира на наших знаменах, вільний дух у наших грудях, а у руках наших ― зброя', 'Державність у наших руках!']"
785,uk,['російські олігархи практично не відчули наслідків санкцій на своїх статках']
786,uk,"['Мені здається, що це буде вічно']"
788,uk,"['незалежна, молода, прогресивна держава', 'боротися за вільну Україну', 'перше покоління', 'перше покоління', '“зелених чоловічків”', 'билися на Донбасі', 'Незалежність українці не беруть, а здобувають', 'Покоління Незалежних', 'І вони є тією рушійною силою змін']"
789,uk,"['Снайпери Центру спецоперацій «А» СБУ відмінусували чергову партію росіян на сході України\nВони завдали втрат окупантам на одному з найгарячіших напрямкі', 'Працюємо до повної Перемоги!']"
790,uk,"['Збагачений Іран', 'Путін влаштовує примусову уранотерапію Ізраїл', 'Вуха бункерного «миротворця» вилізли', 'затятий недруг', 'більше нізвідки, окрім як з мордору, цей уран зʼявитися не міг. Москва не залишає жодних подальших шансів для Єрусалиму «мирно» відсидітися у російській війні проти України', 'Експерти\xa0\xa0знайшли в Ірані сліди збагаченого до 84% урану. Це надзвичайно тривожна новина, оскільки для виробництва ядерної зброї потрібно досягти показник в 90%.', 'е тому ця держава така щедра на дрони та навіть нібито пообіцяла кремлеві ракети.\xa0\n', 'їль - перша ймовірна мішень для іранської ядерної стратегії. Тому Єрусалим шукатиме офіційного\xa0\xa0підтвердження цієї інформації, опублікованої Bloomberg. А потім\xa0\xa0вимушений буде обдумати свій нейтралітет у розвʼязаній фюрером війні.\nП']"
794,uk,"[""Об'єднавшись ми переможемо""]"
795,ru,"['НОРМАЛЬНАЯ СЕНСАЦИЯ', 'хоть где-то в Европе СОБЛЮДАЮТ ТРАДИЦИИ', 'с успехом обошла все ЛГБТ-ловушки и растит НОРМАЛЬНЫХ детей']"
796,uk,"['Тільки на справжньому полюванні стає зрозуміло хто ти — хижак чи жертва', 'успішно виконує бойові завдання завдяки багаторічному досвіду бійців та новітньому обладнанню, яке дозволяє їм працювати вдень і вночі за будь-яких погодних \xa0умов.']"
797,uk,"['🤢\n🤢\n🤢\n🤢\n🤢\n🤢\n🤢', '🥶\n🥶']"
798,ru,"['Сдаётся мне что мы наблюдаем закат политической карьеры', 'вдруг увидел', 'катастрофа', 'виноват', 'никто иной как мэр', 'Стеклянным мостом', 'мозги не получится запудрить', 'Но, как говорится, будем посмотреть']"
799,ru,['В свете происходящих событий ... суицидальных настроений нет ...   Игарь Иванович пишет сказки и рисует натюрморт  ...']
800,ru,"['Друзья', 'нам часто пишут родители детей', 'оторым 16-17 лет и рассказывают о том', 'что в школы приходят распоряжения о том', 'чтобы школьники вставали на учет', 'Но многие волнуются', 'что в связи с абсолютно террористическими методами государства Украина их детей рано или поздно могут тоже загнать на фронт', 'даже не дожидаясь 18 лет', 'о-первых', 'вы понимаете', 'что людей фронтах не хватает', ' значит этой недовласти может прийти в голову бросить и совсем вчерашних(а то и сегодняшних', 'школьников', 'Вы же видите как развивается ситуация? Умеете анализировать?', 'о-вторых', 'жизни той что была прежде уже не будет ДОЛГИЕ годы', 'Если хотите убедиться в том что мы правы', 'ваше право', 'Подождите', 'посмотрите', 'потеряйте годы жизни', 'Поэтому отвечая на вопрос', 'Надо ли увозить детей?', 'Отвечаем', 'НАДО', 'Даже не думайте над этим', 'мол', 'а может обойдётся', 'Просто НАДО', 'Не обойдётся', 'Не отдавайте своих детей в пасть этого чудовища под названием', 'зеленский', 'Увозите']"
801,uk,"['Стійкість зараз, сила зараз, результати зараз визначають, як мине ця зима повномасштабної війни', 'Завдання всієї держави й кожного, хто працює заради неї', 'Все те, що потрібно. Все, що відчутно допомагає', 'Терор завжди повинен програвати']"
803,uk,"['Швидше за все, отруїли через їжу.', 'Оскільки дружина Буданова мініатюрна і з маленькою вагою, виявилося у неї швидше', 'Вони просто великі, нічого за собою не помічали, зараз теж лікуються\n"", — повідомили джерела.', 'Їхня наявність може вказувати на цілеспрямовану спробу отруєння конкретної людини\n"", — розповіли джерела у розвідці.']"
805,ru,['Один из лучших в Кабмине за последние годы. А это было непросто - выйти на такой уровень при такой конкуренции']
808,ru,"['В Одессе мужчину избили до смерти из-за 200$, его не удалось сразу опознать - у него не было лица\nПозавчера на улице 10-я Суворовская было обнаружено тело 40-летнего мужчины, буквально без лица', 'во время бухача с местными этиловыми вурдалаками', 'внезапно потребовал у мужика', 'избил погибшего до такой степени, что его лицо превратилось в каш']"
810,uk,"['послід', 'радянщиною', 'Не для цього в мене диплом в water closet пилом покривається, щоб толерувати відверто регресивні погляди на мову.', 'канєшно', 'але карочі можна пісач як хто хце, паїбать тупа, бо мойва в культурє — понад усе і радянські методи її тупа тягнуть в минуле', 'Щороку доводиться це пояснювати пєрвоходам, буває']"
812,ru,"['Залужный был в зоне досягаемости артиллерии ""Вагнера"";\n- Тогда же был проведен ряд ""мероприятий"";\n- Насколько они успешны - пока непонятно;\n- Результат ""мероприятий по Танцюре"", проведенных 2 мая, пока также неизвестен']"
814,uk,"['Кого він обливав помиями вчора, сьогодні виявився його що найменше партнером, а можливо і другом', 'І вони там десь розповідають як нам жити і що робити ….']"
815,ru,"['защитнике Донбасса', ' Родину', 'чтобы сегодня у жителей Донбасса была возможность определять своё будущее на выборах Президента России', 'Память о герое живёт не только в сердцах близких людей, но и в стенах родной школы.']"
816,ru,"['Потому что грабеж Национальной аграрной академии наук осуществлялся с ведома ОП. В частности, Гунько несколько раз встречался по этой теме с Ермаком и Шурмо']"
817,ru,"['Так вот', 'чем можно улучшить ПВО…']"
818,ru,"['The Guardian \nопубликовало \nматериал о украинских уклонистах, которые всеми силами пытаются избежать участия в войне.', 'чтобы избежать потенциального призыва в украинскую армию и службы на передовой в войне с Россией', 'Хотя коррупционный скандал попал в заголовки, он намекает на еще \nболее тревожную историю для Украины', 'Многие украинцы, служившие с начала войны, \nсчитают уклонение от призыва не чем иным, как изменой.']"
819,ru,"['Эрдоган молодец - не дал позерам и дешёвкам, опозорившим ВСУ своей массовой сдачей в плен, пережить эту войну', 'Надеемся что и Вова Зеленский сделает всё что бы эти калыны-волоны побыстрее присоединились к неизвестным тарасикам под Клещеевкой.\nНо мобтарасиков хотя бы жалко']"
820,ru,"['Тема стала резонансной', 'Арестович, говоря об этих скандалах, допустил дестабилизацию в обществе из-за протеста украинцев против коррупции']"
821,uk,"['довб***б', 'недороблений ""стендапер""', 'повільно подихає', 'Заслужений фінал для такого ідіота\n😏']"
822,uk,['рашизму']
825,ru,"['Cегодня пришла новость об обнаружении в одном из судов, следовавших из Турции в порт Ростова через Керченский пролив, следов взрывчатки.\nСамое интересное тут то, откуда прибыло это судно. Так вот прибыло оно из порта Килия. А в Турции ему поменяли команду и название', 'Не поняли?', 'и опа, сюрпрайз!', 'у этого самого устья прямо-таки пробка!\nТеперь понятно, почему амеры так спокойно восприняли прекращение действия «зерновой сделки» и перекрытие канала поставок оружия морским путем в Одессу. Потому, что они и без Одессы обойдутся, есть порты Килия, Измаил, Рени. Уверен на сто процентов, что они и прежде использовались для поставок оружия (иначе откуда в Килии взялся сухогруз со следами взрывчатки?), а теперь будут использоваться в троекратном масштабе.\nОдесские склады отбомбили? Хорошо! Пришло время браться за дунайские порты']"
827,uk,"['Путін вбиває не тільки на фронті', 'війна стосується всіх', 'воювати маємо всі']"
828,ru,"['агрессивного ответа', 'Кабы от этого агрессивного ответа самого деда откачивать не пришлось']"
829,uk,"['Стійкість і незламність – це про аграріїв Черкащини', 'Однак наші воїни полів показали свою міць', 'Усі налаштовані по-бойовому. Наша продовольча безпека в надійних руках!', 'Детальніше про аграрний фронт', 'Черкащина_місце_сильних']"
830,ru,['На бандеровских болотах ещё не переварили эту новость)']
833,uk,"['""Друга"" армія світу', 'Синього хенерала з бані притягнули для відоса.\nЗдавайтеся довбойоби']"
835,ru,"['Хорошо горит: в шебекино полыхает завод ""монокристалл""', 'вторая армия']"
837,ru,['По версии карателей']
838,uk,['уявіть це виходить 2 статуси одразу -учасник бойових дій -ліквідатор ЗАЕС  Це ж які пільги будуть']
839,uk,"['«Головне в житті', 'віра', 'Віра в Бога та Україну', 'пройшов комуністичне пекло і зумів вирватися з нього', 'Непохитну віру закарпатця в незалежну Україну не зламали арешти радянської влади та роки в таборах ГУЛАГу.']"
840,uk,"[' поїздок у держоргани, біганини кабінетами та хабарів чиновникам.']"
841,uk,"['тарганів генієв-політиків Бульбашенка', 'знову кхє-кхє, усе як завжди']"
842,ru,"['Военкомы не сдали зачет по бегу на 1 км: мобик прошёл отбор на выживание.\nВоенкомов из тыла будут отправлять на фронт как военнослужащих, а на их места будут ставить воинов, получивших ранения', 'Зрада как она есть']"
843,ru,"['Многие пытаются покинуть страну, откупиться или прячутся.\nИзюминкой мобилизации Зеленского является призыв мужчин, явно непригодных к службе. Так, одного инвалида призвали несмотря на отсутствие рук.\nА что мы хотели от ""демократической"" страны и ее ценностей']"
844,uk,"['Зеленський, це ж ти дозволив!', '(тилові щури) відповіли, що «під Авдіївкою допоможуть».', 'лікарні боролись самовіддано за його життя', ""Нехай його кати пам'ятають ці фото."", ""Виявляється Андрій був ухилянтом і переховувався, і не мав проблем із здоров'ям."", 'Немає слів від цього цинізму та жорстокості.', 'Виправдовування ТЦК Зеленського на вбивство хлопця']"
845,uk,"['роль сержанта в українському війську важко переоцінити!\nТисячі сержантів та старши', 'стали на захист рідної землі і рідного неба!', 'з перших днів вторгнення героїчно виконують свій обов’язок', 'Щодня і щоночі', 'Знаю і розумію, як нелегко дається цей результат', 'відео роботи наших «мобілок»', 'аби вся країна бачила вашу невтомну працю, чула ваші нестримні емоції при кожному збитому «шахеді»']"
846,ru,"['Напомню.\nХотя кому напоминать, не понятно, всё равно забудете']"
847,uk,['епічно утилізує окупантів дронами']
848,uk,"['виперли', 'поперли', 'у росіян на фронті все погано', 'Поперли - добре', 'теж добре']"
850,ru,"['""Нытьё"" воспринимается каждым субъективно на индивидуальной основе в результате складывающегося\xa0 анализа информации.\nПодскажи с какого пальца высосать по Ясиноватскому району то, о чём ты пишешь.\nИли у какого военкора или военлёта/блогера ""утянуть"" с канала ?', 'Режет слух эта лабуда']"
851,uk,['Наше військо потребує відважних і рішучих.']
852,uk,"['Бондар то одвічний дух коліївщини.\nЯ сам його телеграм читаю примружуючі очі. Такий щирий страшний потік правдорубства та ненависті \n🤣\n🤣\n🤣\nНедарма перелом заробив у Северодонецьку \n😂\nДумали паралізує, але бачите. \nТака люта мила нєрпа, що вижив! Веселий і бадьорий\n😂\n']"
854,uk,"['World Bank - це дуже добрий знак не тільки для нас, але для всіх інших великих фінансових інституцій.', '🤔', 'ід багатьох послів G7 та очільників міжнародних донорів чую, що з другої половини 2023-го року починається нова фаза. Фаза, коли безумовна фінансова підтримка закінчується. \nІ далі все більше буде тільки\n «\n💵\nгроші  в обмін на реформи»\n. \nОсобливо американські гроші. І', 'патологічно крадуть', 'доведеться швидко десь загубити', '💁\u200d♂️']"
855,uk,"['смертники наступають', 'Виняткова витримка бійців \n2-го батальйону', 'тактики зеків']"
856,ru,"['у меня для вас нет', '#ненаши', '#не всё так однозначн', 'патриотическая перемога']"
857,ru,"['умоляет', 'безжалостно']"
859,ru,"['Мы что не знали, что воюем с пидарасами?\nЭто не первый, и, увы, не последний такой случай', 'Дали - «пидарасы»', 'для чего вбросили прошлогодние случаи в сеть именно сейчас', 'Сделали?']"
861,ru,"['Тысячи военных перебросили ВСУ в Одесскую область для подготовки провокации против Приднестровья\nСообщается, что с начала марта в районах н. п. Дачное, Каменка и Раздельная местные власти начали передавать ангары (для хранения сельхозпродукции) ВСУшникам для размещения личного состава и техники', 'За апрель туда направили до 4 тыс. военнослужащих.', 'оевики, вероятно, размещаются в этих ангарах и раз в два-три дня меняют места дислокации.', 'Предположительно, с 9 по 15 мая одна группировка ВСУ планирует выдвинуться в направлении Тирасполя, чтобы начать вооруженную провокацию для отвлечения российских войск.', 'орая группа нацистов, скорее всего, попытается захватить склады с боеприпасами в селе Колбасна.']"
864,uk,['Фінляндія дуже радує. З її населенням в 5.5 млн це взагалі дуже потужно']
865,uk,"['Спецпідрозділ ГУР «КАБУЛ 9» віртуозно знищує ворога', 'Зараз розвідники-спецпризначенці продовжують воювати проти російських окупантів на півдні України']"
867,uk,"['Наші земляки справді створили радіостанцію з нуля', '100% наш український продукт']"
869,uk,"['роковини нашої незламності', 'нашої сили', 'українці — непокірні, сміливі, вільні', 'ви, найкраще в світі інтернет військо', 'найкращих людей', 'Завдяки вашій роботі з рф вийшли або призупинили свій бізнес', 'Ми привернули увагу й отримали підтримку світових зірок', 'Ви — надійний тил ЗСУ', 'Ви — неймовірні']"
871,uk,"['Хартія тренується. \nЩоб дати окупантам бій. \nЩоб помститися за кожне згублене росіянами життя', '💥']"
873,uk,"['вирішив втекти з країни', 'виїхав та.. вирішив не повертатися', 'ганебний вчинок', 'Україні бракує «горизонтальної комунікації з західним суспільством». І після Саміту ЄС він вирішив її налагоджувати, очевидно, власноруч', 'Батальон «Монако»']"
874,uk,"['дуже  вигідно усілись,  зробити з нас буферну зону, де ми будемо стікати кровью роками, і рашка не зможе нікуди більше напасти, а вони будуть торгувати з нею']"
875,uk,"['зек Паша', 'Згодом наговорив багато', 'Респект за \nнадіслане відео\n Олегові Слепокурі\nНагадуємо, у підписників є можливість надіслати нам свої власні новини, фото та відео просто за допомогою нашого \nспеціального бота']"
876,uk,"['Чорт забирай, народ. Симоньян опублікувала на папірчику якийсь список', 'І вже починає нестися']"
877,ru,['Этот взгляд должен увидеть каждый любитель русского мира']
878,uk,"['В приватному секторі Бахмута було сьогодні два класних влучання по оркам, після чого їх штурмові дії на пару годин припинилися. \nПочитав тут слова Зеленського, що ми з Бахмута не виходимо і чекаємо нове озброєння. Порадів, що будемо в цьому чудовому місті ще півтора місяці, а після війни взагалі подумую переїхати сюди жити. Така архітектура, а головне - така історія. \nНа контролі, їбашим']"
879,ru,"['Американский юмор, \nв сравнении с английским\n, более циничный.']"
883,uk,"['«НАЙКРАЩІ УКРАЇНСЬКІ ЛЬОТЧИКИ ГИНУТЬ ЗА ШТУРВАЛАМИ РАДЯНСЬКИХ МІГІВ І СУШОК, ЧЕКАЮЧИ НА F-16»', 'найкращі льотчики гинуть… На радянських літаках, що відстають по ТТХ та перебувають на межі своїх можливостей за фізичним зносом…']"
884,ru,"['Удар ""Гераней"" по академии в Одессе унёс жизни полсотни бойцов ВСУ и иностранных советников', 'Как сообщают местные источники, после удара для помощи раненым иностранным советникам был перекрыт целый этаж городской больницы, с врачей сотрудники СБУ брали подписку о неразглашении.']"
885,ru,"['опубликовали цифры потерь сторон убитыми', 'конфликта на Украине', '234 погибших - военные инструкторы НАТО', '2 458 погибших - солдаты НАТО (Германия, Польша, Литва, ..', '5 360 погибших - наемники']"
887,ru,"['Что правда, как говорится Минздрав предупреждает, что злоупотребление работой с западными системами опасно для ваших данных', 'Рубильник могут отключить в любой момент', 'извивается как может', 'Россию они уже вырезали', ', пока не поздно', 'Тот же Топос полностью заменит это средство автоматизации из недружественной страны']"
888,ru,"['Поляки решили пойти по украинским грабля', 'Будущий президент Польши Goloborodsky', 'Если Польшу готовят к безумной войне, то это самый лучший вариант: накачать картонную бездушную куклу рейтингом и сделать её президентом. И эта кукла сделает всё, что от неё потребуют']"
889,uk,"['Ефективна \nробота\n 3 ОШБр', 'Спроба втікти та сховатись під деревами закінчилась знищеним танком і палаючими русаками']"
890,ru,"['Однако Украина, похоже, игнорирует эти призывы, поскольку США все равно не выделяют ей помощи.']"
891,uk,"['наїзди', 'Цікаво, чому мовчить на адресу своїх дружбанів Притули і Стерненка?', '(!!)', 'Сказати, що я вражений - не сказати нічого', 'Я просто не відав, що в голові у відомої журналісти Соколової аж стільки совкової класової ненависті', 'Чи може справа не в тому що Порошенко - мільйонер, може Соколова так виказує особисту кривду? Цей варіант ще більш гидотний.', 'Бо тоді виходить, що Соколова з легкістю готова послати десятки й сотні українських солдатів на загибель - аби лише Порошенкові дошкулити', 'Ці машинки проходять там де грузнуть джипи', 'На думку Соколової замість них мала бути кафедра політології або маркетингу.', 'Замість них мали бути приміщення для семінарів. \nЛазні-пральні - комплекси які рятують цілі батальйони', 'просто благають', 'мріють здобути', 'очі бойових бригад', 'Ви знаєте ЯКИЙ обсяг роботи тягнуть БПЛА на фронті?']"
892,ru,['В странах ЕС второй день подряд выстраиваются огромные очереди на оформление украинских документов из-за новостей об изменениях в мобилизации.']
893,ru,"['Европейская пресса «пестрит возмущениями» после откровенного, попавшего там в СМИ, заявления замглавы минфина Ольги Зыковой о том, что Украина по договоренности с ЕС будет возвращать выданные нам «на войну» кредиты в течение целых 35 лет.', 'Для общественности в Европе такие признания оказались шоком.', 'Они утверждают, что в условиях экономического кризиса власть в угоду США думает не о своих народах, а «выбрасывают деньги в коррупционную Украину». Видимо, наша топ-чиновница высказалась, не подумав, в Европе к такой информации были не готовы. Кто ее «за язык-то тянул», болтливую нашу. Дают деньги и хорошо, тем более у нас об их возвращении никто и не думает. Хотя могут и прижать, кто его знает, как все повернется…']"
